18.5,25,0,30,6,0.25,1.09
5.1,25.25,18.05,5.75,18,0.64,0.62
110,41,27.3,14,31,0.25,1.25
18,45,25,25,14,0.3,2.09
7,26.57,18.8,1,20,0.1,0.81
26,150.05,45,50,200,0,1.2
17,33.69,18.8,1,20,0.43,0.97
31.3,58.8,35.5,47.5,438.5,0.25,1.2
21,20,40,40,12,0,1.84
10.67,25,18.84,15.32,30,0.38,1.63
25,46,35,46,432,0.15,1.23
25,48,40,49,330,0.25,1.49
27.3,31.5,29.7,41,135,0.25,1.245
12,0,30,45,8,0.25,0.8
18.85,10.34,21.3,34,37,0.3,1.29
14.3,27,19.6,9.6,25,0.32,0.97
20,45,18,24,30.15,0.12,1.12
30.3,0.29,33.7,45.29,218.51,0.292,1.22
10,26.57,19.61,31.7,13,0.9,1.61
27.3,26,1,50,92,0.25,1.246
23.5,10,27,26,190,0,1.02
25,46,35,50,284,0.15,1.15
30.3,0.385,29.5,33.28,249.48,0.281,1.52
27.3,10,39,41,511,0.15,1.434
29.1,0.27,32.5,46.53,199.97,0.286,1.2
22.4,10,35,45,10,0.3,0.9
20,20,36,45,50,0.5,0.83
20.41,24.9,13,22,10.67,0.35,1.4
22,0,36,45,50,0.15,0.89
27.3,16.8,28,50,90.5,0.25,1.252
27,50,40,42,407,0.25,1.44
19,30,35,35,11,0.2,2
20,0,24.5,20,8,0.3,1.37
30.3,0.39,35.6,35.63,214.49,0.29,1.53
61,20,21.43,0,20,0.5,1.03
25,22,18.8,30,20,0.25,1.36
25,55,36,44.5,299,0.25,1.55
10,33.69,17.66,7.85,25,0.25,1.07
25,46,35,50,284,0.25,1.34
8,45,18.45,18.06,10.1,0.14,0.97
16,70,20,40,115,0,1.11
20,0.1,36,45,50,0.5,0.67
50,45,22,20,36,0.25,1.02
22.4,10,35,30,10,0,2
21.51,6.94,30,31,76.81,0.38,1.01
18,5,30,20,8,0.3,2.05
30.3,0.25,30,45.32,116.62,0.264,1.44
11.5,27.6,17.71,9.09,20.35,0,1.25
26.49,150,33,45,73,0.15,1.23
22,20,22,20,180,0,1.12
22,20,36,45,50,0.15,1.02
31.3,68.6,37,47.5,262.5,0.25,1.2
22.7,0.3,30,44,328,0,1.356
18.84,14.36,25,20,30.5,0.45,1.11
19.1,10,10,25,50,0.4,0.65
76.81,31,21.51,6.94,30,0.38,1.01
12.19,22,19.63,11.97,20,0.41,1.35
12,0,30,45,4,0.15,1.44
27.3,31.5,29.7,41,135,0.15,1.245
27.43,26.4,17.29,44.54,12,0,1.52
29.1,0.27,32.8,35.86,180,0.28,1.71
27,37.5,35,37.8,320,0.15,1.24
19.63,11.97,20,22,12.19,0.405,1.35
26.78,300,38.7,54,155,0.25,1.2
18.68,26.34,15,35,8.23,0,1.11
20,40,30,30,15,0.3,1.84
29.1,0.37,28.93,44.8,163.22,0.27,1.35
27,35,35,42,359,0.25,1.27
23,24,19.8,23,380,0,1.15
20,0,36,45,50,0.25,0.79
18.8,30,10,25,50,0.1,1.4
22.4,10,35,30,10,0.15,2
13.7,26.57,18.71,0,14,0,1.28
20,20,19.72,30,30,0.5,1.54
26.89,150,33,52,120,0.25,1.8
25,46,35,44,435,0.15,1.37
29.1,0.385,31.7,46.2,152.82,0.291,1.31
20,22,20,0,20,0.5,0.9
20.15,22,20,20,20,0.5,1.12
20,0.2,27,51,120,0,1.191
22.4,10,35,45,10,0.35,0.9
27.3,10,39,40,470,0.15,1.418
12.8,28,21.82,8.62,32,0.49,1.03
15,12.99,20,21,17,1,1.05
26,150,45,30,200,0.15,1.2
28.44,29.42,35,35,100,0,1.78
27,40,35,43,420,0.15,1.15
27.3,10,39,41,511,0.25,1.47
